Car,Model,Volume,Weight,CO2
Toyota,Aygo,1000,790,99
Mitsubishi,Space Star,1200,1160,95
Skoda,Citigo,1000,929,95
Fiat,500,900,865,90
Mini,Cooper,1500,1140,105
VW,Up!,1000,929,105
Skoda,Fabia,1400,1109,90
Mercedes,A-Class,1500,1365,92
Ford,Fiesta,1500,1112,98
Audi,A1,1600,1150,99
Hyundai,I20,1100,980,99
Suzuki,Swift,1300,990,101
Ford,Fiesta,1000,1112,99
Honda,Civic,1600,1252,94
Hundai,I30,1600,1326,97
Opel,Astra,1600,1330,97
BMW,1,1600,1365,99
Mazda,3,2200,1280,104
Skoda,Rapid,1600,1119,104
Ford,Focus,2000,1328,105
Ford,Mondeo,1600,1584,94
Opel,Insignia,2000,1428,99
Mercedes,C-Class,2100,1365,99
Skoda,Octavia,1600,1415,99
Volvo,S60,2000,1415,99
Mercedes,CLA,1500,1465,102
Audi,A4,2000,1490,104
Audi,A6,2000,1725,114
Volvo,V70,1600,1523,109
BMW,5,2000,1705,114
Mercedes,E-Class,2100,1605,115
Volvo,XC70,2000,1746,117
Ford,B-Max,1600,1235,104
BMW,2,1600,1390,108
Opel,Zafira,1600,1405,109
Mercedes,SLK,2500,1395,120
Suzuki,JB420 Grand Nomade 2.0 Lts. DOHC 4WD Station Wagon 5P. T/M Motor Otto,2000,1588,261
Suzuki,JB420 Grand Nomade 2.0 Lts. DOHC 2WD Station Wagon 5P. T/M Motor Otto,2000,1588,261
Suzuki,JB416 Grand Vitara 1.6 Lts. DOHC Station Wagon 4WD 3P. T/M Motor Otto,1600,1588,229
Toyota,Yaris 1.5 Lts. DOHC Sedan 4P. T/M Motor Otto,1500,1247,154
Toyota,Yaris Sport 1.5 Lts. DOHC Hatch Back 3P. T/M Motor Otto,1500,1247,154
Toyota,Yaris Sport 1.5 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1500,1247,154
Toyota,Yaris 1.5 Lts. DOHC Sedan 4P. T/A Motor Otto,1500,1247,165
Toyota,Yaris Sport 1.5 Lts.DOHC Hatch Back 3P. T/A Motor Otto,1500,1247,165
Toyota,Yaris Sport 1.5 Lts. DOHC Hatch Back 5P. T/A Motor Otto,1500,1247,165
Chevrolet,Aveo LT NB AC 1.4 Lts. DOHC Sedan 4P. T/M Motor Otto,1400,1474,180
Chevrolet,Aveo LS NB AC 1.4 Lts. DOHC Sedan 4P. T/M Motor Otto,1400,1474,180
Chevrolet,Aveo LS HB 1.4 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1400,1474,180
Chevrolet,Aveo LS HB 1.4 Lts. DOHC Hatch Back 3P. T/M Motor Otto,1400,1474,180
Alfa Romeo,159 2.2 Lts. JTS 16v DOHC Sedan 4P. T/M Motor Otto,2200,1531,246
Alfa Romeo,Brera 2.2Lts.  JTS 16v DOHC Hatch Back 3P. T/M Motor Otto,2200,1474,246
Alfa Romeo,159 Spider 2.2 Lts. JTS 16v DOHC Convertible 2P. T/M Motor Otto,2200,1814,246
Citroen,C1 1.0 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1000,1474,120
Citroen,C1 1.0 Lts. DOHC Hatch Back 3P. T/M Motor Otto,1000,1474,120
Suzuki,SX4 1.6 Lts. DOHC Hatch Back 5P. T/M Motor Otto,1600,1474,156
Suzuki,SX4 1.6 Lts. DOHC Sedan 4P. T/M Motor Otto,1600,1474,156
Suzuki,Grand Nomade JB419 1.9 Lts. SOHC Station Wagon 5P 4x4 T/M Motor Diesel,1900,1247,210
BMW,X3 3.0i Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Otto,3000,1701,210
BMW,X3 2.5i Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Otto,2500,1701,210
Kia,Carens UN 2.0 Lts. SOHC Station Wagon 5P. (7 pasajeros) T/A Motor Diesel,2000,1247,200
Kia,Carens UN 2.0 Lts. SOHC Station Wagon 5P. (5 pasajeros) T/A Motor Diesel,2000,1247,200
Suzuki,SX4 1.6 Lts. DOHC Hatch Back 5P. T/A Motor Otto,1600,1474,167
Suzuki,SX4 1.6 Lts. DOHC Sedan 4P T/A Motor Otto,1600,1474,167
Hyundai,Veracruz 3.8 Lts. DOHC Station Tipo Jeep 4x4 5P. T/A Motor Otto,3800,1474,291
Alfa Romeo,159 Q4 3.2 Lts. JTS 32v DOHC Sedan 4P. 4x4 T/A Motor Otto,3200,1814,286
Alfa Romeo,159 SW Q4 3.2 Lts. JTS 32v DOHC Station 5P. 4x4 T/A Motor Otto,3200,1814,286
Land Rover,Freelander 2 I6 (HSE/SE/S) 3.2 Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Otto,3200,1247,273
Chery,QQ 0.8 Lts. DOHC MPI Hatch Back 5P. T/M Motor Otto,800,1474,146
Chery,QQ 1.1 Lts. DOHC MPI Hatch Back 5P. T/M Motor Otto,1100,1474,165
