id,fecha_inicio,mes_reclamo,fecha_ultima_accion,pex,p1a,p1b,pinst,ppei1,ppei2,ppei3,ppei4,p2,p3,p4a,p4b,p4c,nps,pgen,gen,region,educ,edad,ocup,ingreso,sitdisc,indg
21554,2023-01-01 11:36:04,1,2023-01-01 11:46:34,5,5,4,5,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,5,6,5,5,Masculino.,Región de Valparaíso.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,No
21556,2023-01-01 16:33:33,1,2023-01-01 16:35:40,1,1,1,1,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,7,1,5,Femenino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21558,2023-01-01 20:52:59,1,2023-01-01 20:56:38,4,2,2,2,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,3,3,3,5,2,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Menos de $300.000,No,No
21559,2023-01-01 22:24:17,1,2023-01-01 22:25:41,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
21560,2023-01-01 23:43:21,1,2023-01-01 23:45:25,7,1,1,7,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,7,10,7,Masculino.,Región de Antofagasta.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No
21565,2023-01-02 16:11:14,1,2023-01-02 16:14:39,4,1,1,4,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,4,1,4,5,4,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No
21566,2023-01-02 18:00:40,1,2023-01-02 18:05:47,1,2,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,65 años o más.,Asalariado/a,Entre $400.000 y $599.999,Sí,No
21567,2023-01-02 18:35:49,1,2023-01-02 18:49:26,2,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,2,1,1,2,1,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21568,2023-01-02 18:57:34,1,2023-01-02 18:59:37,3,3,3,4,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,3,4,4,4,4,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21569,2023-01-02 20:20:20,1,2023-01-03 18:13:49,7,7,7,7,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No
21570,2023-01-02 20:37:25,1,2023-01-02 20:39:06,7,1,1,7,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región del Ñuble.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No
