id,fecha_inicio,fecha_ultima_accion,pex,p1a,p1b,pinst,ppei1,ppei2,ppei3,ppei4,p2,p3,p4a,p4b,p4c,nps,pgen,gen,region,educ,edad,ocup,ingreso,sitdisc,indg,mes
24048,2023-04-01 11:47:42,2023-04-01 11:49:35,7,1,1,5,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,5,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No,April
24053,2023-04-01 15:09:26,2023-04-01 15:29:43,7,5,7,6,,,,,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,$1.100.000 o más,No,No,April
24055,2023-04-01 17:39:19,2023-04-01 17:41:42,7,7,7,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,No,April
24056,2023-04-01 19:43:18,2023-04-01 19:52:45,4,1,1,4,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,1,3,2,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,April
24057,2023-04-02 09:30:13,2023-04-02 09:33:19,1,1,1,4,,,,,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,5,4,5,4,3,Femenino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24059,2023-04-02 16:36:54,2023-04-02 16:42:44,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,4,1,1,Femenino.,Región de Los Lagos.,Media completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,April
24060,2023-04-02 19:15:11,2023-04-02 19:25:21,7,7,1,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,6,7,10,7,Femenino.,Región del Biobío.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,April
24061,2023-04-02 20:15:13,2023-04-02 20:17:28,1,1,1,1,,,,,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,April
24062,2023-04-03 01:06:37,2023-04-03 01:12:45,7,7,7,7,,,,,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No,April
24064,2023-04-03 08:34:18,2023-04-03 08:37:06,7,6,5,7,,,,,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,6,6,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,April
